group,variable,value,nickname,university,year,datestarted,mayor,degree,hobby,canvas,kthsocial,facebook,learnings,courses,thesis,fiveyears
S1,Q11,5,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S1,Q12,5,Monokuma,,2016,44713,Computer Science,Master in Science,I read a lot and like playing boardgames,Yes - but only a few times a week.,I use it to check the schedule and to go to the canvas pages for my courses,No and I will never use it.,How to present information in a way the user can take in.,At kth - DD1354 - DH2320 and DH2413 if I pass it,Have not started planning for it.,No clue
S2,Q1,7,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q2,7,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q3,6,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q4,4,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q5,8,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q6,8,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q7,4,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q8,7,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q9,5,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q10,7,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q11,7,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S2,Q12,9,NoobKiz,No,2015,43647,Computer Science,Master in Science,Creation and innovation. Sports - programming - and music.,Yes - but only a few times a week.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Better organization and visualization of data. To apply the knowledge in real life/software.,No course - but I learned the visualization libraries by myself. Like matplotlib in Python and some other Javascript libraries.,Have not started planning for it.,entrepreneur. To create new interaction applications/frameworks.
S3,Q1,6,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q2,5,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q3,6,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q4,7,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q5,6,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q6,3,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q7,5,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q8,5,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q9,3,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q10,7,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q11,7,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S3,Q12,2,Rella666,Beijing University,2015,44717,Media Management,Master in Science,Cooking and gardening,Yes - several times a day.,Yes - but the last time I checked was two weeks ago.,Yes - but only a few times a week.,I  hope I can learn how to change information from complicated into easy way,Media Production_Webpage Design,Have not started planning for it.,Product Manager in Internet Company or CPG business
S4,Q1,3,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q2,4,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q3,5,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q4,8,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q5,7,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q6,4,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q7,4,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q8,1,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q9,6,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q10,9,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q11,6,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S4,Q12,7,Kropotkin42,,2020,44743,Media Technology,Master in Science,interests: interaction design - graphic and web design - media studies - modern and postmodern philosophyhobbies: knitting - baking - photography - skyrim with 493 mods,Yes - but only a few times a week.,No - but I wouldn't mind using it.,yes but i would rather not use it :(,how to present data on graphs and maybe in animations. i expect to use it in future courses and possibly in my job after graduation - if i have to present data for something,in my bachelor's degree i had statistics - linear algebra - and several courses on computer graphics. who knows what will come in handy though,Have started planning - but haven't made contacts yet.,my most honest answer is  in the woods - boiling tea water over a fire in a cast iron kettle.  but other than that - i am torn. i'm thinking about trying for a phd - but would also like to work in the design industry
S5,Q1,5,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q2,6,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q3,4,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q4,4,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q5,6,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q6,6,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q7,3,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q8,5,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q9,5,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q10,5,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q11,9,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S5,Q12,6,Kyrie11,,2020,44733,Media Technology,Master in Science,I like playing basketball and producing beats.,Yes - several times a day.,Yes - but only a few times a week.,Yes - but only a few times a week.,I want to learn the fundamental of information visualization and also some trending tech used in the industry. I expect to apply what I learn into solving real-life problem.,Multimedia Data Visualization. At Zhejiang University three years ago. ,Have not started planning for it.,I want to be a front-end developer for music streaming industry.
S6,Q1,5,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q2,2,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q3,2,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q4,9,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q5,7,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q6,6,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q7,3,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q8,6,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q9,4,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
S6,Q10,5,chiri,,2020,44367,Human-Computer Interaction,Master in Science,Art - design - Front-end development - UX - music - skiing,Yes - several times a day.,No - but I wouldn't mind using it.,Yes - but the last time I checked was two weeks ago.,Different representations for different kind of data. Be proficient in the use of D3 to create custom visualizations,none but have some professional experience in the field,Have not started planning for it.,Industry. Working in designing and implementing complex data visualizations
